,LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),temp_gp,Wind Speed (mph),Log Case,Trans Case,density,density_gp
66,68,CHN,China,ShanXi,133,0,133,37.5777,112.2922,38248828.0,156349.3966,3.48,71.6,5,0,24.61,M Temp,55.0510934,7.056366761024529,1.8399595874895318,5980181178457.186,M Density
67,57,CHN,China,ShangHaiShi,353,3,324,31.201999999999998,121.4491,31356140.0,6691.44288,11.26,75.99,31,0,8.95,H Temp,20.020613,8.463933010872237,3.5058909297299574,209817819747.28317,M Density
68,54,CHN,China,SiChuan,539,3,516,30.6171,102.7103,77861826.0,444951.0129,6.92,39.29,56,16,7.52,L Temp,16.8217888,9.074409099343736,2.811471030529836,34644698344943.555,H Density
69,66,CHN,China,TianJin,136,3,133,39.3054,117.323,16504083.0,10886.5535,8.24,77.0,8,0,15.66,H Temp,35.0304804,7.088523256616632,3.060047383669939,179672582547.9405,M Density
70,76,CHN,China,XiZangZiZhiQu,1,0,1,31.6927,88.0924,3356750.0,746564.2498,0.3,28.13,14,30,2.62,L Temp,5.860782800000001,0.13750352374993502,-1.3219280948873622,2506029545516.15,M Density
71,71,CHN,China,XinJiangWeiWuErZiZhiQu,76,3,73,41.1129,85.2401,25255370.0,751052.338,3.01,62.69,13,7,9.6,M Temp,21.474624000000002,6.249824548616183,1.6369145803558778,18968104685555.06,H Density
72,62,CHN,China,YunNan,174,2,172,24.974,101.48700000000001,48474500.0,382853.7213,3.59,73.0,26,0,20.22,H Temp,45.2309268,7.443772392763739,1.8836208162856714,18558642713156.848,H Density
73,47,CHN,China,ZheJiang,1231,1,1211,29.1832,120.0934,62703652.0,101922.6929,19.63,70.79,56,96,1.14,M Temp,2.5501116,10.265732238722114,4.302319050948834,6390925066504.471,M Density
74,65,HKG,"China, Hong Kong Special Administrative Region",,145,4,81,22.3,114.2,7557182.0,1113.74334,19.19,75.0,88,40,4.7,H Temp,10.513618000000001,7.180903709179382,4.269781238274379,8416761121.66788,L Density
75,75,MAC,"China, Macao Special Administrative Region",,10,0,10,22.1667,113.55,633520.0,25.29560486,15.78,75.0,94,40,4.7,H Temp,10.513618000000001,3.3362833878644325,3.989139007368233,16025271.590907201,L Density
76,77,COL,Colombia,,34,0,0,4.5709,-74.2973,50228930.0,1132589.044,0.68,51.8,93,75,3.36,M Temp,7.5161184,5.0916998341368105,-0.3584539709124763,56888735809842.92,H Density
77,78,COG,Congo,,1,0,0,-4.0383,21.7587,5263341.0,340938.8463,0.19,70.25,96,100,3.38,M Temp,7.5608572,0.13750352374993502,-1.7858751946471525,1794477408223.4883,M Density
78,80,CRI,Costa Rica,,27,0,0,9.7489,-83.7534,5043685.0,51343.380110000006,5.35,69.8,68,20,12.75,M Temp,28.520985000000003,4.760220946466509,2.446256229889564,258959836110.10538,M Density
79,81,CIV,Cote d'Ivoire,,1,0,0,7.54,-5.5471,25565548.0,321202.3334,0.04,78.8,88,20,16.11,H Temp,36.0371034,0.13750352374993502,-2.8365012677171206,8211713672249.703,H Density
80,82,HRV,Croatia,,49,0,1,45.1,15.2,4162495.0,56550.3952,11.77,48.0,84,73,1.01,M Temp,2.2593094000000002,5.617651119427331,3.569248029867182,235390737268.024,M Density
81,83,,Cruise Ship,Diamond Princess,696,7,325,35.4498,139.6649,,,,69.01,58,20,6.93,M Temp,15.5019942,9.443150764729321,,,
82,84,CUB,Cuba,,4,0,0,21.5218,-77.7812,11365570.0,109801.0609,0.35,69.8,94,0,8.05,M Temp,18.007367000000002,2.035623909730721,-1.15200309344505,1247951643733.213,M Density
83,85,CUW,Curacao,,1,0,0,12.1696,-68.99,163760.0,436.55721330000006,6.11,78.8,74,20,11.41,H Temp,25.523485400000002,0.13750352374993502,2.634593268445757,71490609.25000802,L Density
