Province_State,Country_Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,LOC_id
Faroe Islands,Denmark,2020-03-11T20:53:02,2,0,0,61.8926,-6.9118,179
St Martin,France,2020-03-11T20:53:02,2,0,0,18.0708,-63.0501,180
Channel Islands,United Kingdom,2020-03-11T20:53:02,2,0,0,49.3723,-2.3644,181
,Jamaica,2020-03-12T01:33:03,2,0,0,18.1096,-77.2975,182
Vermont,US,2020-03-12T01:53:03,2,0,0,44.0459,-72.7107,183
,Monaco,2020-03-12T12:53:03,2,0,0,43.7333,7.4167,184
,Jordan,2020-03-03T15:33:02,1,0,0,31.24,36.51,185
,Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656,186
,Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55,187
,Bhutan,2020-03-06T15:43:02,1,0,0,27.5142,90.4336,188
,Togo,2020-03-07T02:13:09,1,0,0,8.6195,0.8248,189
Kansas,US,2020-03-10T03:13:17,1,0,0,38.5266,-96.7265,190
Missouri,US,2020-03-10T03:13:17,1,0,0,38.4561,-92.2884,191
,Mongolia,2020-03-10T06:13:43,1,0,0,46.8625,103.8467,192
,Nepal,2020-03-10T08:33:03,1,0,1,28.3949,84.124,193
Northern Territory,Australia,2020-03-10T14:13:14,1,0,0,-12.4634,130.8456,194
,Holy See,2020-03-10T19:13:21,1,0,0,41.9029,12.4534,195
Tibet,China,2020-03-11T02:18:14,1,0,1,31.6927,88.0924,196
,Turkey,2020-03-11T03:33:05,1,0,0,38.9637,35.2433,197
Saint Barthelemy,France,2020-03-11T20:53:02,1,0,0,17.9,-62.8333,198
Gibraltar,United Kingdom,2020-03-11T20:53:02,1,0,1,36.1408,-5.3536,199
,Congo (Kinshasa),2020-03-11T21:13:24,1,0,0,-4.0383,21.7587,200
New Brunswick,Canada,2020-03-11T23:13:06,1,0,0,46.5653,-66.4619,201
Delaware,US,2020-03-11T23:13:06,1,0,0,39.3185,-75.5071,202
Montana,US,2020-03-11T23:13:06,1,0,0,46.9219,-110.4544,203
,Reunion,2020-03-11T23:13:07,1,0,0,-21.1151,55.5364,204
